編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQPMLKLLHMFFEE18CC,15,206.23,住家用,見其它登記事項,91年8月20日,四層,
RPOOMLKLLHMFFDE77CC,18,93.00,住家用,鋼筋混凝土造,88年5月19日,二十七層,
RPQOMLKLLHMFFGE28CC,5,147.24,見其他登記事項,鋼筋混凝土造,101年5月2日,十四層,
RPQOMLKLLHMFFGE28CC,5,5.65,見其他登記事項,鋼筋混凝土造,101年5月2日,十四層,
RPQOMLKLLHMFFGE28CC,5,91.86,見其他登記事項,鋼筋混凝土造,101年5月2日,十四層,
RPTNMLKLLHMFFGE48CC,3,94.19,見其他登記事項,見其他登記事項,103年8月18日,十五層,
RPVNMLKLLHMFFGE68CC,44,137.34,住家用,加強磚造,62年2月28日,四層,
RPRNMLKLLHMFFCE87CC,7,159.24,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPRNMLKLLHMFFCE87CC,7,96.12,見其它登記事項,鋼筋混凝土造,98年12月24日,十九層,
RPSOMLKLLHMFFGE48CC,19,77.16,住家用,鋼筋混凝土造,87年5月20日,十四層,
RPSOMLKLLHMFFFE38CC,11,102.99,住家用,鋼筋混凝土造,95年3月6日,十四層,
RPROMLKLLHMFFCE97CC,19,133.85,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLKLLHMFFCE97CC,19,77.08,共有部份,鋼筋混凝土造,87年7月14日,二十八層,
RPPOMLLLLHMFFCE87CC,11,195.72,住商用,鋼筋混凝土造,94年12月28日,十五層,
RPOOMLLLLHMFFFE08CC,21,88.25,住家用,鋼筋混凝土造,84年11月10日,十一層,
RPOOMLLLLHMFFFE08CC,21,34.17,見其他登記事項,鋼筋混凝土造,84年11月10日,十一層,
RPSNMLLLLHMFFGE48CC,27,156.81,住家用,鋼筋混凝土造,79年3月18日,十二層,
RPSNMLLLLHMFFGE48CC,27,12.46,見使用執照,鋼筋混凝土造,79年3月18日,十二層,
RPXNMLLLLHMFFGE98CC,,113.75,見其他登記事項,見其他登記事項,105年10月5日,一層,
RPOOMLLLLHMFFDE87CC,44,63.71,,加強磚造,62年4月14日,三層,
RPPOMLLLLHMFFDE97CC,26,200.24,,鋼筋混凝土造,79年9月27日,十七層,
RPQOMLLLLHMFFDE08CC,10,129.00,住家用,鋼筋混凝土造,96年6月8日,五層,
RPQOMLLLLHMFFDE08CC,10,30.42,見其它登記事項,鋼筋混凝土造,96年6月8日,五層,
RPXNMLLLLHMFFEE78CC,10,111.85,住商用,鋼筋混凝土造,95年11月3日,十五層,
RPQNMLLLLHMFFEE08CC,27,47.20,見其它登記事項,鋼筋混凝土造,79年3月26日,十九層,
RPVOMLLLLHMFFEE68CC,4,210.86,見其它登記事項,鋼筋混凝土造,102年5月7日,四層,
RPPNMLLLLHMFFAE57CC,27,86.18,商業用,鋼筋混凝土造,79年2月16日,十二層,
RPRNMLLLLHMFFAE77CC,12,114.20,住家用,鋼筋混凝土造,94年8月19日,十四層,
RPRNMLLLLHMFFAE77CC,12,46.87,共有部分,鋼筋混凝土造,94年8月19日,十四層,
RPVNMLLLLHMFFAE18CC,45,160.92,,鋼筋混凝土造,61年9月15日,四層,
RPWOMLLLLHMFFEE78CC,27,320.10,住商用,鋼筋混凝土造,79年2月15日,十七層,
RPWOMLLLLHMFFEE78CC,27,32.63,見使用執照,鋼筋混凝土造,79年2月15日,十七層,
RPROMLLLLHMFFBE97CC,20,129.57,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPPNMLMLLHMFFAE67CC,42,84.34,,加強磚造,64年5月29日,二層,
RPSNMLMLLHMFFAE97CC,8,133.11,住家用,鋼筋混凝土造,98年2月17日,十五層,
RPSNMLMLLHMFFAE97CC,8,84.77,共有部分,鋼筋混凝土造,98年2月17日,十五層,
RPPPMLMLLHMFFEE28CC,11,72.98,住商用,鋼筋混凝土造,95年9月14日,五層,
RPRPMLMLLHMFFEE48CC,27,56.56,見其它登記事項,鋼筋混凝土造,79年3月26日,十九層,
RPVPMLMLLHMFFEE88CC,23,289.96,住商用,鋼筋混凝土造,83年7月18日,五層,
RPUNMLMLLHMFFDE48CC,14,218.88,住家用,鋼筋混凝土造,92年4月2日,五層,
RPTNMLMLLHMFFAE08CC,12,84.87,住家用,鋼筋混凝土造,93年11月4日,十四層,
RPSNMLKLLHMFFHE58DC,27,131.56,住家用,鋼筋混凝土造,79年5月31日,三層,
RPXOMLMLLHMFFDE88CC,31,239.31,,鋼筋混凝土造,74年10月8日,四層,
RPPPMLMLLHMFFDE18CC,33,14.25,,鋼筋混凝土造,73年5月3日,四層,
RPTNMLMLLHMFFCE28CC,3,48.01,住家用,鋼筋混凝土造,102年10月30日,四層,
RPTNMLMLLHMFFCE28CC,3,18.36,住家用,鋼筋混凝土造,102年10月30日,四層,
RPUPMLNLLHMFFGE09CC,43,59.50,住商用,加強磚造,63年7月10日,三層,
RPXNMLMLLHMFFBE58CC,20,245.54,商業用,鋼筋混凝土造,86年7月23日,二十四層,
RPSNMLNLLHMFFDE38CC,22,152.64,住商用,鋼筋混凝土造,83年12月2日,二十層,
RPOOMLMLLHMFFBE77CC,26,321.18,,鋼筋混凝土造,80年5月22日,十六層,
RPSNMLNLLHMFFDE38CC,22,48.06,見使用執照,鋼筋混凝土造,83年12月2日,二十層,
RPTNMLMLLHMFFBE18CC,20,103.60,商業用,鋼造,86年2月12日,二十七層,
RPTNMLMLLHMFFBE18CC,20,135.64,商業用,鋼造,86年2月12日,二十七層,
RPTNMLMLLHMFFBE18CC,20,165.56,見使用執照,鋼造,86年2月12日,二十七層,
RPWNMLMLLHMFFBE48CC,59,36.00,,加強磚造,46年12月3日,四層,
RPWNMLMLLHMFFBE48CC,59,.00,,加強磚造,46年12月3日,三層,
RPORMLNLLHMFFEE48CC,4,74.55,住家用,鋼筋混凝土造,101年11月9日,十五層,
RPORMLNLLHMFFEE48CC,4,8.99,住家用,鋼筋混凝土造,101年11月9日,十五層,
RPORMLNLLHMFFEE48CC,4,1.05,住家用,鋼筋混凝土造,101年11月9日,十五層,
RPORMLNLLHMFFEE48CC,4,75.50,見其它登記事項,鋼筋混凝土造,101年11月9日,十五層,
RPRNMLNLLHMFFAE97CC,56,209.00,住家用,加強磚造,50年5月10日,三層,
RPVNMLNLLHMFFBE48CC,20,145.12,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPQOMLNLLHMFFBE08CC,50,108.67,,加強磚造,56年1月29日,二層,
RPROMLNLLHMFFBE18CC,1,93.11,住家用,鋼筋混凝土造,105年4月13日,十四層,
RPUNMLOLLHMFFAE38CC,11,133.54,住家用,鋼筋混凝土造,95年5月5日,十五層,
RPUNMLOLLHMFFAE38CC,11,22.13,住家用,鋼筋混凝土造,95年5月5日,十五層,
RPUNMLOLLHMFFAE38CC,11,88.23,共有部分,鋼筋混凝土造,95年5月5日,十五層,
RPWNMLOLLHMFFAE58CC,4,94.56,住家用,鋼筋混凝土造,102年4月9日,二十四層,
RPWNMLOLLHMFFAE58CC,4,15.34,住家用,鋼筋混凝土造,102年4月9日,二十四層,
RPWNMLOLLHMFFAE58CC,4,76.31,見其它登記事項,鋼筋混凝土造,102年4月9日,二十四層,
RPPOMLOLLHMFFAE97CC,25,8.11,商業用,木造,81年3月16日,一層,
RPPOMLOLLHMFFAE97CC,25,9.00,商業用,木造,81年3月16日,一層,
RPXNMLOLLHMFFBE78CC,34,108.43,,鋼筋混凝土造,71年12月6日,五層,
RPXNMLOLLHMFFEE09CC,3,69.09,住家用,鋼筋混凝土造,102年11月11日,十五層,
RPXNMLOLLHMFFEE09CC,3,10.19,住家用,鋼筋混凝土造,102年11月11日,十五層,
RPXNMLOLLHMFFEE09CC,3,60.96,見其它登記事項,鋼筋混凝土造,102年11月11日,十五層,
RPVNMLOLLHMFFEE88CC,2,50.70,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPVNMLOLLHMFFEE88CC,2,7.69,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPVNMLOLLHMFFEE88CC,2,42.05,見其它登記事項,鋼筋混凝土造,103年11月4日,十五層,
RPPPMLOLLHMFFEE48CC,3,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPPMLOLLHMFFEE48CC,3,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPPMLOLLHMFFEE48CC,3,29.12,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPPQMLOLLHMFFEE58CC,3,50.38,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPQMLOLLHMFFEE58CC,3,5.87,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPQMLOLLHMFFEE58CC,3,58.54,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPQOMLOLLHMFFDE38CC,1,67.29,見其它登記事項,鋼筋混凝土造,105年6月30日,十五層,
RPQOMLOLLHMFFDE38CC,1,3.47,見其它登記事項,鋼筋混凝土造,105年6月30日,十五層,
RPQOMLOLLHMFFDE38CC,1,63.30,見其它登記事項,鋼筋混凝土造,105年6月30日,十五層,
RPQNMLOLLHMFFBE08CC,46,134.73,,鋼筋混凝土造,60年6月23日,四層,
RPTOMLOLLHMFFEE78CC,1,79.28,見其它登記事項,見其它登記事項,105年1月8日,十八層,
RPTOMLOLLHMFFEE78CC,1,8.37,見其它登記事項,見其它登記事項,105年1月8日,十八層,
RPTOMLOLLHMFFEE78CC,1,79.50,見其它登記事項,見其它登記事項,105年1月8日,十八層,
RPOPMLOLLHMFFEE38CC,1,142.15,見其它登記事項,見其它登記事項,104年11月16日,十五層,
RPOPMLOLLHMFFEE38CC,1,65.30,見其它登記事項,見其它登記事項,104年11月16日,十五層,
RPTNMLOLLHMFFLE76CC,16,822.10,見其他登記事項,鋼筋混凝土造,89年10月27日,二層,
RPSNMLOLLHMFFEE68DC,4,74.82,住家用,鋼筋混凝土造,101年11月23日,十五層,
RPSNMLOLLHMFFEE68DC,4,57.79,見其它登記事項,鋼筋混凝土造,101年11月23日,十五層,
RPWNMLOLLHMFFGE56CC,35,73.65,住家用,鋼筋混凝土造,71年6月28日,五層,
RPPNMLOLLHMFFAE97DC,10,101.82,住家用,鋼筋混凝土造,95年12月5日,十九層,
RPPNMLOLLHMFFAE97DC,10,63.31,見其它登記事項,鋼筋混凝土造,95年12月5日,十九層,
RPVPMLOLLHMFFGE66CC,20,46.15,住家用,鋼筋混凝土造,86年6月27日,十四層,
RPVPMLOLLHMFFGE66CC,20,6.79,住家用,鋼筋混凝土造,86年6月27日,十四層,
RPVPMLOLLHMFFGE66CC,20,42.21,共有部份,鋼筋混凝土造,86年6月27日,十四層,
RPQQMLOLLHMFFGE88CC,5,214.68,見其他登記事項,鋼筋混凝土造,101年5月2日,十四層,
RPWNMLOLLHMFFFE09CC,38,139.20,工業用,鐵造,67年11月10日,一層,
RPPQMLOLLHMFFGE78CC,3,49.78,見其他登記事項,見其他登記事項,103年7月18日,十五層,
RPPQMLOLLHMFFGE78CC,3,6.25,見其他登記事項,見其他登記事項,103年7月18日,十五層,
RPPQMLOLLHMFFGE78CC,3,51.70,見其他登記事項,見其他登記事項,103年7月18日,十五層,
RPTQMLOLLHMFFGE56CC,5,174.83,見其他登記事項,鋼筋混凝土造,101年5月2日,十四層,
RPPNMLQLLHMFFAE08CC,34,163.93,,鋼筋混凝土造,72年9月20日,十二層,
RPXOMLOLLHMFFIE96CC,39,106.46,住商用,加強磚造,67年6月25日,二層,
RPXNMLRLLHMFFBE09CC,27,60.69,,鋼筋混凝土造,78年11月9日,十二層,
RPUOMLRLLHMFFBE88CC,25,186.40,商業用,鋼筋混凝土造,81年7月17日,十二層,
RPUOMLRLLHMFFBE88CC,25,51.22,見使用執照,鋼筋混凝土造,81年7月17日,十二層,
RPUOMLOLLHMFFCE68CC,6,55.01,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPUOMLOLLHMFFCE68CC,6,4.75,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPUOMLOLLHMFFCE68CC,6,40.00,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPVNMLSLLHMFFIE07CC,3,42.82,見其他登記事項,鋼筋混凝土造,102年12月10日,二層,
RPUOMLSLLHMFFAE88CC,57,84.68,,加強磚造,48年11月19日,二層,
RPOOMLRLLHMFFCE38CC,32,129.66,,鋼筋混凝土造,73年11月2日,五層,
RPVNMLRLLHMFFCE98CC,6,50.50,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPVNMLRLLHMFFCE98CC,6,26.92,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPWNMLRLLHMFFCE09CC,6,37.41,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPWNMLRLLHMFFCE09CC,6,20.16,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPROMLSLLHMFFBE68CC,37,80.94,,鋼筋混凝土造,68年12月17日,五層,
RPRNMLSLLHMFFBE58CC,20,130.29,商業用,鋼造,86年2月12日,二十七層,
RPRNMLSLLHMFFBE58CC,20,114.50,見使用執照,鋼造,86年2月12日,二十七層,
RPOOMLSLLHMFFBE38CC,19,538.75,商業用,鋼筋混凝土造,87年7月14日,十三層,
RPPNMLSLLHMFFBE38CC,40,32.03,,鋼筋混凝土造,65年11月24日,十層,
RPSNMLSLLHMFFBE68CC,20,145.13,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPPPMLSLLHMFFAE48CC,20,69.33,商業用,鋼筋混凝土造,86年2月19日,四層,
RPROMLSLLHMFFEE98CC,4,51.82,住家用,鋼筋混凝土造,102年5月31日,十五層,
RPROMLSLLHMFFEE98CC,4,3.63,住家用,鋼筋混凝土造,102年5月31日,十五層,
RPROMLSLLHMFFEE98CC,4,2.40,住家用,鋼筋混凝土造,102年5月31日,十五層,
RPROMLSLLHMFFEE98CC,4,37.19,見其它登記事項,鋼筋混凝土造,102年5月31日,十五層,
RPQNMLSLLHMFFDE68CC,18,94.43,商業用,鋼筋混凝土造,88年1月15日,六層,
RPQNMLSLLHMFFDE68CC,18,20.20,見使用執照,鋼筋混凝土造,88年1月15日,六層,
RPSOMLRLLHMFFCE78CC,33,66.69,,鋼筋混凝土造,72年12月19日,五層,
RPUOMLTLLHMFFEE76CC,10,91.25,住家用,鋼筋混凝土造,96年4月10日,十五層,
RPPOMLTLLHMFFEE88CC,19,84.54,商業用,鋼筋混凝土造,87年2月13日,十四層,
RPUOMLTLLHMFFEE76CC,10,113.03,見其它登記事項,鋼筋混凝土造,96年4月10日,十五層,
RPPOMLTLLHMFFEE88CC,19,16.74,見使用執照,鋼筋混凝土造,87年2月13日,十四層,
RPUOMLTLLHMFFEE76CC,10,73.10,住家用,鋼筋混凝土造,96年4月10日,十五層,
RPQNMLTLLHMFFDE78CC,44,63.42,,加強磚造,61年11月8日,三層,
RPUOMLTLLHMFFDE66CC,27,71.61,,鋼筋混凝土造,79年8月18日,七層,
RPUOMLTLLHMFFDE66CC,27,93.48,,鋼筋混凝土造,79年8月18日,七層,
RPUOMLTLLHMFFDE66CC,27,52.20,,鋼筋混凝土造,79年8月18日,七層,
RPPOMLTLLHMFFDE78CC,25,110.63,住家用,鋼筋混凝土造,81年8月17日,十層,
RPSNMLTLLHMFFGE66CC,33,106.48,見使用執照,鋼筋混凝土造,73年6月15日,五層,
RPTNMLTLLHMFFBE88CC,57,648.37,,加強磚造,48年10月8日,三層,
RPOPMLTLLHMFFAE48CC,22,160.25,住商用,鋼筋混凝土造,84年1月23日,二十二層,
RPPNMLTLLHMFFAE38CC,36,128.00,,鋼筋混凝土造,70年4月25日,五層,
RPWOMLTLLHMFFEE96CC,9,132.78,住商用,鋼筋混凝土造,97年4月10日,十五層,
RPWOMLTLLHMFFEE96CC,9,38.05,共有部分,鋼筋混凝土造,97年4月10日,十五層,
RPWNMLTLLHMFFBE56CC,41,94.12,,鋼筋混凝土造,65年1月6日,三層,
RPWNMLTLLHMFFBE56CC,41,89.88,,鋼筋混凝土造,65年1月6日,三層,
RPVOMLTLLHMFFEE86CC,18,89.83,商業用,鋼筋混凝土造,87年11月30日,十四層,
RPVOMLTLLHMFFEE86CC,18,19.83,見使用執照,鋼筋混凝土造,87年11月30日,十四層,
RPVOMLTLLHMFFBE56CC,38,119.42,,鋼筋混凝土造,68年2月20日,五層,
RPVOMLTLLHMFFBE56CC,38,101.53,,鋼筋混凝土造,68年2月20日,五層,
RPPOMLKMLHMFFGE28CC,,161.51,見其他登記事項,見其他登記事項,106年1月6日,一層,
RPXNMLKMLHMFFIE56CC,1,415.54,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,
RPOOMLKMLHMFFIE38CC,1,415.54,見其他登記事項,鋼筋混凝土造,105年5月30日,四層,
RPPNMLTLLHMFFCE58CC,13,52.36,住商用,鋼筋混凝土造,93年9月9日,四層,
RPTNMLKMLHMFFCE18CC,28,88.55,住家用,鋼筋混凝土造,78年5月10日,十六層,
RPQOMLKMLHMFFDE08CC,28,18.51,,鋼筋混凝土造,77年12月10日,四層,
RPROMLKMLHMFFDE18CC,38,49.43,,鋼筋混凝土造,68年9月19日,三層,
RPPPMLKMLHMFFEE18CC,11,342.20,住商用,鋼筋混凝土造,95年3月9日,五層,
RPXNMLKMLHMFFEE78CC,22,127.29,住家用,鋼筋混凝土造,84年6月22日,七層,
RPOPMLKMLHMFFEE08CC,6,181.73,住家用,鋼筋混凝土造,99年11月24日,十四層,
RPPOMLKMLHMFFEE08CC,33,31.76,,鋼筋混凝土造,73年8月23日,四層,
RPPOMLKMLHMFFEE08CC,33,44.10,,鋼筋混凝土造,73年8月23日,四層,
RPPOMLKMLHMFFEE08CC,33,44.10,,鋼筋混凝土造,73年8月23日,四層,
RPPOMLKMLHMFFEE08CC,33,44.10,,鋼筋混凝土造,73年8月23日,四層,
RPPOMLKMLHMFFEE08CC,33,14.47,,鋼筋混凝土造,73年8月23日,四層,
RPPOMLKMLHMFFEE08CC,33,6.40,,鋼筋混凝土造,73年8月23日,四層,
RPOOMLKMLHMFFBE67CC,20,94.57,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPOOMLLMLHMFFEE08CC,3,47.62,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPOOMLLMLHMFFEE08CC,3,8.59,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPOOMLLMLHMFFEE08CC,3,54.38,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPROMLLMLHMFFEE38CC,2,49.07,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPROMLLMLHMFFEE38CC,2,6.34,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPROMLLMLHMFFEE38CC,2,30.02,見其它登記事項,鋼筋混凝土造,103年11月4日,十五層,
RPXNMLKMLHMFFBE48CC,58,44.84,,加強磚造,48年9月12日,二層,
RPXNMLKMLHMFFBE48CC,58,31.88,,加強磚造,48年9月12日,二層,
RPVOMLLMLHMFFEE78CC,23,102.60,住家用,鋼筋混凝土造,83年8月11日,二十七層,
RPVOMLLMLHMFFEE78CC,23,11.74,住家用,鋼筋混凝土造,83年8月11日,二十七層,
RPVOMLLMLHMFFEE78CC,23,52.58,見使用執照,鋼筋混凝土造,83年8月11日,二十七層,
RPTNMLLMLHMFFIE88CC,26,161.86,住家用,鋼筋混凝土造,79年9月17日,三層,
RPSNMLLMLHMFFFE48CC,21,157.78,住商用,鋼筋混凝土造,84年9月16日,十二層,
RPWNMLLMLHMFFCE58CC,38,31.97,,鋼筋混凝土造,68年8月22日,五層,
RPWNMLLMLHMFFCE58CC,38,1.58,,鋼筋混凝土造,68年8月22日,六十層,
RPQNMLLMLHMFFLE88CC,38,58.01,住商用,鋼筋混凝土造,67年10月11日,三層,
RPPNMLLMLHMFFBE77CC,28,361.73,,鋼筋混凝土造,78年6月3日,七層,
RPSOMLLMLHMFFBE18CC,2,75.38,住家用,鋼筋混凝土造,103年10月31日,二十四層,
RPSOMLLMLHMFFBE18CC,2,10.54,住家用,鋼筋混凝土造,103年10月31日,二十四層,
RPSOMLLMLHMFFBE18CC,2,57.70,共有部分,鋼筋混凝土造,103年10月31日,二十四層,
RPTOMLLMLHMFFBE28CC,1,46.29,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPTOMLLMLHMFFBE28CC,1,4.84,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPTOMLLMLHMFFBE28CC,1,27.33,共有部分,鋼筋混凝土造,104年10月23日,十五層,
RPQOMLLMLHMFFBE97CC,38,172.49,,鋼筋混凝土造,68年1月8日,四層,
RPWOMLLMLHMFFBE58CC,10,86.60,住家用,鋼筋混凝土造,96年4月13日,十五層,
RPWOMLLMLHMFFBE58CC,10,11.90,住家用,鋼筋混凝土造,96年4月13日,十五層,
RPWOMLLMLHMFFBE58CC,10,44.27,共有部分,鋼筋混凝土造,96年4月13日,十五層,
RPVNMLPJMHMFFFE98CC,21,224.14,住家用,鋼筋混凝土造,85年4月12日,五層,
RPRNMLLMLHMFFBE97CC,29,419.06,住商用,鋼筋混凝土造,77年7月7日,五層,
RPXNMLLMLHMFFBE58CC,24,207.60,商業用,鋼筋混凝土造,81年9月15日,二十五層,
RPXNMLLMLHMFFBE58CC,24,74.83,見使用執照,鋼筋混凝土造,81年9月15日,二十五層,
RPPNMLPJMHMFFGE48CC,2,241.98,見其他登記事項,鋼筋混凝土造,103年10月13日,十五層,
RPWNMLPJMHMFFFE09CC,11,76.89,住商用,鋼筋混凝土造,95年5月12日,十三層,
RPXNMLPJMHMFFFE56CC,11,220.19,住商用,鋼筋混凝土造,95年5月12日,十三層,
RPOOMLPJMHMFFIE68CC,12,123.00,見其他登記事項,鋼筋混凝土造,94年2月22日,四層,
RPVNMLPJMHMFFIE66CC,38,104.27,住家用,加強磚造,68年3月10日,一層,
RPXOMLPJMHMFFAE78CC,13,88.23,住家用,鋼筋混凝土造,93年5月10日,十四層,
RPOPMLPJMHMFFEE38CC,18,128.83,住家用,見使用執照,88年6月24日,十四層,
RPRPMLPJMHMFFEE68CC,2,597.94,住商用,見其它登記事項,103年11月24日,二層,
RPVOMLPJMHMFFEE98CC,32,101.26,,鋼筋混凝土造,74年3月23日,五層,
RPSNMLPJMHMFFAE18CC,27,127.93,商業用,鋼筋混凝土造,78年12月22日,十八層,
RPTNMLPJMHMFFDE58CC,21,104.87,住家用,鋼筋混凝土造,85年7月19日,二十四層,
RPTNMLPJMHMFFDE58CC,21,47.32,見使用執照,鋼筋混凝土造,85年7月19日,二十四層,
RPXNMLQJMHMFFFE66CC,4,820.65,見其他登記事項,見其他登記事項,102年6月28日,四層,
RPQOMLQJMHMFFEE58CC,1,51.33,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPQOMLQJMHMFFEE58CC,1,30.02,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPTNMLQJMHMFFBE48CC,20,162.19,住商用,鋼筋混凝土造,86年4月21日,三十五層,
RPVOMLQJMHMFFFE56CC,12,235.75,住商用,鋼筋混凝土造,94年9月26日,四層,
RPSNMLQJMHMFFAE28CC,20,134.23,住商用,鋼筋混凝土造,85年11月20日,十三層,
RPROMLQJMHMFFAE28CC,22,170.10,住商用,鋼筋混凝土造,84年5月3日,二十二層,
RPROMLQJMHMFFAE28CC,22,17.00,見使用執照,鋼筋混凝土造,84年5月3日,二十二層,
RPQOMLQJMHMFFAE18CC,13,80.22,住家用,鋼筋混凝土造,93年4月23日,十四層,
RPQOMLQJMHMFFAE18CC,13,44.79,共有部分,鋼筋混凝土造,93年4月23日,十四層,
RPPNMLPJMHMFFAE87CC,11,32.32,住商用,鋼筋混凝土造,95年1月4日,四層,
RPUOMLQJMHMFFAE58CC,31,110.94,,鋼筋混凝土造,75年6月24日,五層,
RPROMLQJMHMFFCE48CC,3,207.05,住家用,鋼筋混凝土造,103年7月15日,二十九層,
RPROMLQJMHMFFCE48CC,3,85.12,見其它登記事項,鋼筋混凝土造,103年7月15日,二十九層,
RPXNMLRJMHMFFCE09CC,10,87.53,住家用,見其它登記事項,95年11月21日,十五層,
RPXNMLRJMHMFFCE09CC,10,16.24,住家用,見其它登記事項,95年11月21日,十五層,
RPVOMLQJMHMFFAE68CC,11,97.84,住家用,鋼筋混凝土造,95年2月20日,十五層,
RPXNMLRJMHMFFCE09CC,10,58.48,共有部份,見其它登記事項,95年11月21日,十五層,
RPVOMLQJMHMFFAE68CC,11,19.57,共有部分,鋼筋混凝土造,95年2月20日,十五層,
RPVOMLQJMHMFFAE68CC,11,24.00,共有部分,鋼筋混凝土造,95年2月20日,十五層,
RPSNMLRJMHMFFCE58CC,33,98.65,,鋼筋混凝土造,73年8月17日,五層,
RPPOMLQJMHMFFGE68CC,3,154.54,見其他登記事項,見其他登記事項,103年8月20日,十五層,
RPQOMLRJMHMFFCE48CC,7,63.08,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPQOMLRJMHMFFCE48CC,7,33.56,見其它登記事項,鋼筋混凝土造,98年12月24日,十九層,
RPPOMLRJMHMFFGE78CC,23,102.07,住家用,鋼筋混凝土造,83年8月27日,二十三層,
RPPOMLRJMHMFFGE78CC,23,23.28,住家用,鋼筋混凝土造,83年8月27日,二十三層,
RPPOMLRJMHMFFGE78CC,23,23.50,共有部份,鋼筋混凝土造,83年8月27日,二十三層,
RPSOMLRJMHMFFCE68CC,11,65.35,住家用,見其它登記事項,95年2月27日,九層,
RPSOMLRJMHMFFCE68CC,11,21.86,共有部份,見其它登記事項,95年2月27日,九層,
RPROMLRJMHMFFGE98CC,5,112.30,見其他登記事項,鋼筋混凝土造,101年6月5日,十四層,
RPROMLRJMHMFFGE98CC,5,67.90,見其他登記事項,鋼筋混凝土造,101年6月5日,十四層,
RPSOMLRJMHMFFGE09CC,18,169.31,住商用,鋼筋混凝土造,87年12月10日,十三層,
RPSOMLRJMHMFFGE09CC,18,37.49,見使用執照,鋼筋混凝土造,87年12月10日,十三層,
RPOPMLRJMHMFFGE78CC,49,49.48,住商用,加強磚造,57年4月11日,二層,
RPOOMLRJMHMFFFE58CC,3,296.68,住商用,鋼筋混凝土造,103年2月27日,四層,
RPPOMLRJMHMFFCE38CC,4,138.68,住家用,見其它登記事項,102年7月10日,二十九層,
RPPOMLRJMHMFFCE38CC,4,35.91,住家用,見其它登記事項,102年7月10日,二十九層,
RPPOMLRJMHMFFCE38CC,4,105.31,見其它登記事項,見其它登記事項,102年7月10日,二十九層,
RPUOMLRJMHMFFAE78DC,1,358.77,見其它登記事項,見其它登記事項,105年1月28日,五層,
RPWNMLRJMHMFFAE78CC,4,120.05,住家用,鋼筋混凝土造,102年8月5日,二十四層,
RPWNMLRJMHMFFAE78CC,4,16.03,住家用,鋼筋混凝土造,102年8月5日,二十四層,
RPWNMLRJMHMFFAE78CC,4,99.45,見其它登記事項,鋼筋混凝土造,102年8月5日,二十四層,
RPTNMLRJMHMFFBE58CC,36,26.93,,鋼筋混凝土造,70年8月19日,十二層,
RPXNMLRJMHMFFAE88CC,11,48.92,住家用,鋼筋混凝土造,95年8月9日,十五層,
RPXNMLRJMHMFFAE88CC,11,5.23,住家用,鋼筋混凝土造,95年8月9日,十五層,
RPXNMLRJMHMFFAE88CC,11,37.18,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPXNMLRJMHMFFBE98CC,15,120.36,住商用,鋼筋混凝土造,91年7月17日,十四層,
RPXNMLRJMHMFFBE98CC,15,134.90,住商用,鋼筋混凝土造,91年7月17日,十四層,
RPXNMLRJMHMFFBE98CC,15,73.16,見其他登記事項,鋼筋混凝土造,91年7月17日,十四層,
RPOOMLRJMHMFFAE08CC,8,85.30,住家用,鋼筋混凝土造,97年10月21日,十五層,
RPVNMLRJMHMFFBE78CC,44,116.64,,加強磚造,61年9月20日,三層,
