鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
竹北市,建物,新竹縣竹北市光明六路東一段271~300號,0.0,商,,,1051221,土地0建物1車位0,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960528,319.64,4,2,3,有,有,有,40000,125,坡道平面,0.0,0,,RPTPMLNJJHMFFBJ58CC
竹北市,建物,新竹縣竹北市高鐵七路61~90號,0.0,商,,,1051230,土地0建物2車位2,七層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0990208,326.81,0,0,0,無,有,無,48000,147,坡道平面,74.92,0,辦公室使用,RPVWMLOJJHMFFBJ96CC
竹北市,建物,新竹縣竹北市嘉豐十一路二段1~30號,0.0,,,,1051212,土地0建物1車位1,一層,19,店面(店鋪),商業用,鋼筋混凝土造,0970201,248.38,0,0,2,有,有,無,36118,145,坡道平面,30.66,0,,RPQQMLQJJHMFFBJ68CC
竹北市,建物,新竹縣竹北市成功十三街1~30號,0.0,住,,,1051229,土地0建物1車位1,二層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040604,136.03,0,0,0,無,有,無,19500,143,坡道平面,0.0,0,,RPSRMLQJJHMFFBJ98CC
湖口鄉,房地(土地+建物),新竹縣湖口鄉明德街21巷10弄1~30號,31.69,住,,,1060109,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830217,83.9,3,2,2,有,無,有,9000,107,,0.0,0,,RPVOMLTJJHMFFDJ86CC
竹北市,建物,新竹縣竹北市莊敬六街1~30號,0.0,住,,,1051227,土地0建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,127.22,2,2,2,有,有,有,17000,134,坡道平面,0.0,0,租金含管,RPTNMLKKJHMFFBJ18CC
竹北市,建物,新竹縣竹北市嘉豐南路二段151~180號,0.0,住,,,1051211,土地0建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961109,227.11,3,2,2,有,有,有,25000,110,坡道平面,0.0,0,租金含管,RPUNMLKKJHMFFBJ28CC
竹北市,建物,新竹縣竹北市莊敬六街1~30號,0.0,商,,,1060102,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,111.52,2,2,2,有,有,無,16000,143,坡道平面,0.0,0,租金含管,RPVNMLKKJHMFFBJ38CC
竹北市,建物,新竹縣竹北市興隆路一段511~540號,0.0,住,,,1060110,土地0建物1車位2,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020515,424.87,4,2,3,有,有,有,88693,209,坡道平面,0.0,0,續租租金含租賃稅.二代健保.網路.MOD費用,RPWNMLKKJHMFFBJ48CC
竹北市,建物,新竹縣竹北市自強六街1~30號,0.0,商,,,1060109,土地0建物1車位1,六層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0940721,97.01,3,2,2,有,有,有,21000,216,坡道平面,0.0,0,含管理費,RPXNMLKKJHMFFBJ58CC
竹北市,建物,新竹縣竹北市嘉豐十路1~30號,6.62,住,,,1051225,土地0建物1車位0,十二層,13,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970321,24.61,1,1,1,有,無,有,13000,528,,0.0,0,,RPQOMLLKJHMFFBJ08CC
竹北市,建物,新竹縣竹北市東興路一段391~420號,0.0,住,,,1051222,土地0建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950524,164.14999999999998,3,2,2,有,有,無,18000,110,坡道平面,0.0,0,,RPRNMLMKJHMFFBJ18CC
竹北市,建物,新竹縣竹北市文興路二段91~120號,0.0,商,,,1051227,土地0建物1車位0,一層,19,店面(店鋪),商業用,鋼筋混凝土造,0970201,229.13,0,0,0,無,有,無,80000,349,,0.0,0,租賃層次：B1~2F,RPSNMLMKJHMFFBJ28CC
竹北市,土地,永興段511~540地號,665.97,住,,,1051213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,90,,0.0,0,,RPQOMLMKJHMFFBJ18CC
竹北市,建物,新竹縣竹北市福興路755巷1~30號,0.0,住,,,1060106,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0861008,185.66,5,2,3,有,無,有,32000,172,,0.0,0,,RPTOMLNKJHMFFBJ58CC
竹北市,建物,新竹縣竹北市文興路151~180號,0.0,商,,,1060104,土地0建物1車位2,一層,19,店面(店鋪),商業用,鋼筋混凝土造,1000510,321.92,1,0,1,有,有,無,60000,186,坡道平面,0.0,0,,RPTQMLNKJHMFFBJ78CC
竹北市,建物,新竹縣竹北市嘉豐六路二段91~120號,0.0,住,,,1060105,土地0建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0980106,201.10999999999999,5,2,3,有,有,無,30000,149,,0.0,0,一層+二層+地下一層,RPQOMLTKJHMFFBJ88CC
竹北市,建物,新竹縣竹北市文興路二段91~120號,0.0,住,,,1051215,土地0建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1051208,922.86,0,0,0,無,有,無,315000,341,,0.0,0,店面承租一樓及，二樓,RPUOMLTKJHMFFBJ76DC
竹東鎮,房地(土地+建物),新竹縣竹東鎮北興路三段91~120號,7.12,住,,,1060110,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941130,27.61,1,1,1,有,有,有,6500,235,,0.0,0,,RPQPMLKLJHMFFCJ28CC
竹北市,建物,新竹縣竹北市六家五路二段181~210號,0.0,住,,,1060110,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980504,110.1,3,2,2,有,有,有,21500,195,坡道平面,0.0,0,租金含管續租,RPWOMLKLJHMFFBJ68CC
竹北市,建物,新竹縣竹北市縣政十街61~90號,0.0,住,,,1060105,土地0建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900807,134.75,3,2,2,有,有,有,22000,163,坡道平面,0.0,0,租金含管,RPXOMLKLJHMFFBJ78CC
竹北市,建物,新竹縣竹北市莊敬五街31~60號,0.0,商,,,1060113,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,105.46000000000001,2,2,2,有,有,有,17600,167,,0.0,0,租金含管.租賃稅,RPOPMLKLJHMFFBJ97CC
竹北市,建物,新竹縣竹北市嘉政十街1~30號,0.0,住,,,1060109,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1030516,132.32,4,2,2,有,無,無,23000,174,,0.0,0,,RPPPMLKLJHMFFBJ08CC
竹北市,建物,新竹縣竹北市嘉豐六路二段61~90號,0.0,住,,,1060116,土地0建物1車位2,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,145.15,3,2,2,有,有,無,24000,165,坡道平面,0.0,0,租金含管,RPQPMLKLJHMFFBJ18CC
竹北市,建物,新竹縣竹北市六家七路1~30號,0.0,住,,,1060113,土地0建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950907,153.3,3,2,2,有,有,無,24000,157,坡道平面,0.0,0,租金含管續租,RPRPMLKLJHMFFBJ28CC
竹北市,建物,新竹縣竹北市成功八路181~210號,0.0,住,,,1060110,土地0建物1車位0,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,146.43,4,2,2,有,有,有,27000,184,,0.0,0,租金含管,RPSPMLKLJHMFFBJ38CC
竹北市,建物,新竹縣竹北市成功九街91~120號,0.0,住,,,1060120,土地0建物1車位0,見其他登記事項,15,店面(店鋪),商業用,鋼筋混凝土造,1001103,147.28,0,0,0,無,無,有,40000,272,,0.0,0,租賃層次：1~2層,RPPNMLLLJHMFFBJ97CC
竹北市,建物,新竹縣竹北市嘉豐南路一段121~150號,0.0,住,,,1060117,土地0建物1車位0,三層,5,辦公商業大樓,住家用,鋼筋混凝土造,0951218,299.99,3,2,2,有,有,無,60000,200,,0.0,0,,RPVNMLPLJHMFFBJ98CC
竹北市,土地,莊敬段181~210地號,515.11,住,,,1060119,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,45000,87,,0.0,0,,RPVOMLPLJHMFFBJ09CC
